p.vol,drink
45,Distilled Water
300,Distilled Water
450,Distilled Water
500,Distilled Water
230,Distilled Water
350,Distilled Water
350,Distilled Water
400,Distilled Water
450,Distilled Water
250,Distilled Water
200,Distilled Water
350,Distilled Water
350,Distilled Water
250,Distilled Water
220,Distilled Water
370,Distilled Water
500,Distilled Water
310,Distilled Water
200,Distilled Water
350,Distilled Water
210,Distilled Water
200,Distilled Water
300,Distilled Water
350,Distilled Water
250,Distilled Water
300,Distilled Water
300,Distilled Water
310,Distilled Water
250,Distilled Water
350,Distilled Water
270,Distilled Water
450,Distilled Water
60,Gatorade
200,Gatorade
220,Gatorade
450,Gatorade
120,Gatorade
200,Gatorade
300,Gatorade
300,Gatorade
220,Gatorade
150,Gatorade
50,Gatorade
300,Gatorade
250,Gatorade
200,Gatorade
150,Gatorade
400,Gatorade
500,Gatorade
250,Gatorade
210,Gatorade
210,Gatorade
190,Gatorade
150,Gatorade
250,Gatorade
275,Gatorade
200,Gatorade
235,Gatorade
250,Gatorade
280,Gatorade
240,Gatorade
250,Gatorade
230,Gatorade
220,Gatorade
60,Tea or Coffee
190,Tea or Coffee
240,Tea or Coffee
450,Tea or Coffee
200,Tea or Coffee
300,Tea or Coffee
150,Tea or Coffee
180,Tea or Coffee
150,Tea or Coffee
120,Tea or Coffee
160,Tea or Coffee
150,Tea or Coffee
160,Tea or Coffee
150,Tea or Coffee
200,Tea or Coffee
170,Tea or Coffee
120,Tea or Coffee
200,Tea or Coffee
250,Tea or Coffee
200,Tea or Coffee
180,Tea or Coffee
140,Tea or Coffee
180,Tea or Coffee
200,Tea or Coffee
100,Tea or Coffee
120,Tea or Coffee
180,Tea or Coffee
200,Tea or Coffee
140,Tea or Coffee
100,Tea or Coffee
210,Tea or Coffee
180,Tea or Coffee
40,NaCl Solution
140,NaCl Solution
120,NaCl Solution
160,NaCl Solution
75,NaCl Solution
150,NaCl Solution
120,NaCl Solution
90,NaCl Solution
120,NaCl Solution
100,NaCl Solution
80,NaCl Solution
90,NaCl Solution
80,NaCl Solution
110,NaCl Solution
50,NaCl Solution
140,NaCl Solution
130,NaCl Solution
140,NaCl Solution
190,NaCl Solution
130,NaCl Solution
140,NaCl Solution
100,NaCl Solution
150,NaCl Solution
150,NaCl Solution
100,NaCl Solution
100,NaCl Solution
100,NaCl Solution
100,NaCl Solution
110,NaCl Solution
80,NaCl Solution
130,NaCl Solution
110,NaCl Solution
